,,,,,,,Ungefähre Reisezeit in Minuten,,,,,,,,,,,
,,,,,,,,,,,,,,22,,Bahnhofstrasse/HB,,
,,,11,,,,,,,,Rehalp,,,,,,,
,,,,,,,,,,,,,,25,Bahnhofquai/HB,,,
,,,,,,,2,,,,Friedhof Enzenbühl,,,,,,,
,,,,,,,,,,,,,,,31,Escher-Wyss-Platz,,
,,,,,,,3,,,,Balgrist,,,,,,,
,,,,,,,,,,,,,,27,Stampfenbachplatz,,,
,,,,,,,5,,,,Burgwies,,,,,,,
,,,,,,,,,,,,,,28,Beckenhof,,,
,,,,,,,6,,,,Wetlistrasse,,,,,,,
Rehalp,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,30,Kronenstrasse,,,
,,,,,,,7,,,,Hedwigsteig,,,,,,,
,,,,,,,,,,,,,,31,Schaffhauserplatz,,,
Richtung,,,,,,,8,,,,Hegibachplatz,,,,,,,
,,,,,,,,,,,,,,32,Laubiweg,,,
"Zürich, Auzelg",,,,,,,9,,,,Signaustrasse,,,,,,,
,,,,,,,,,,,,,,34,Bucheggplatz,,,
,,,,,,,10,,,,,Kreuzplatz,,,,,,
,,,,,,,,,,,,,,35,Radiostudio,,,
,,,,,,,12,,,,,Bahnhof Stadelhofen,,,,,,
Gültig ab 13.12.2015,,,,,,,,,,,,,,37,Bad Allenmoos,,,
,,,,,,,14,,,,,Bellevue,,,,,,
,,,,,,,,,,,,,,38,Regensbergbrücke,,,
,,,,,,,16,,,,,Bürkliplatz,,,,,,
,,,,,,,,,,,,,,39,Bahnhof Oerlikon,,,
,,,,,,,,,,,11,Römerhof,,,,,,
,,,,,,,,,,,,,,41,Sternen Oerlikon,,,
,,,,,,,18,,,,,Börsenstrasse,,,,,,
,,,,,,,,,,,,,,42,Messe/Hallenstadion,,,
,,,,,,,19,,,,,Paradeplatz,,,,,,
,,,,,,,,,,,,,,49,Auzelg,,,
,,,,,,,21,,,,,Rennweg,,,,,,
"Als Sonntage gelten auch: 25. und 26. Dezember, 1. und 2. Januar, Karfreitag, Ostermontag, 1. Mai, Auffahrt, Pfingstmontag, 1. August",,,,,,,,,,,,,,,,,,
h,Montag-Freitag,,,,,,Samstag,,,,,,Sonn- und Feiertag,,,,,h
5,18,33,47,55,,,18,33,48,,,,18,33,48,,,5
6,02,10,17,25,32,40,03,18,33,48,,,03,18,33,48,,6
,45,53,,,,,,,,,,,,,,,,
7,00,08,15,23,30,38,03,18,31,41,51,,03,18,33,48,,7
,45,53,,,,,,,,,,,,,,,,
8,00,08,15,23,30,37,01,11,21,31,41,51,03,18,33,48,,8
,45,52,,,,,,,,,,,,,,,,
9,00,07,15,22,30,37,01,11,21,31,41,51,03,18,33,48,,9
,45,52,,,,,,,,,,,,,,,,
10-17,00,07,15,22,30,37,00,07,15,22,30,37,01,11,21,31,41,10-17
,45,52,,,,,45,52,,,,,51,,,,,
18,00,07,15,22,30,37,00,08,16,23,31,38,01,11,21,31,41,18
,45,52,,,,,46,48 c,53,,,,51,,,,,
19,00,07,15,22,30,37,01,08,16,23,31,38,01,11,21,31,41,19
,45,52,,,,,46,53,,,,,51,,,,,
20,00,07,15,17 c,25,35,01,08,16,25,35,45,02,04 d,13,24,35,20
,45,47 c,55,,,,47 c,55,,,,,45,55,,,,
21,05,15,25,35,45,55,05,15,25,35,45,55,05,15,25,35,45,21
,,,,,,,,,,,,,55,,,,,
22,05,15 b,18 a,25 b,33 a,35 b,05,15,25,35,45,55,05,18,33,35 c,48,22
,35 a,45 b,48 a,55 b,,,,,,,,,,,,,,
23,03 a,05 b,15 b,18 a,25 b,33 a,05,15,25,35,45,55,03,18,33,48,58,23
,35 b,45 b,48 a,55 b,58 a,,,,,,,,,,,,,
0,08,14 b,23 d,33 b,37 a,42 bc,08,14 d,23 d,33 d,42 c,52 c,08,23 d,37 c,52 c,,0
,52 c,,,,,,,,,,,,,,,,,
a Montag - Donnerstag b Nur Freitag c bis Escher-Wyss-Platz d bis Sternen Oerlikon,,,,,,,,,,,,,,,,e,über Römerhof,
In der Regel jedes 2. Tram mit Niederflureinstieg,,,,,,,,,,,,,,,,,,
"Nach besonderem Fahrplan verkehren die Kurse am 24. und 31. Dezember, am Sechseläuten, am Züri-Fäscht, an der Streetparade und am Knabenschiessen.",,,,,,,,,,,,,,,,,,
Datum: 08.10.2015 09:35:03;,,,,,,,,,,,,,,,,Linie: 1-11-A-1-R;,,Haltestelle: 2549
